Part,list exported from C:/Users,,,,,price per,total price,eta
,,,,,,,,
Qty,Value,Device,Package,Parts,Description,,,
14,,LEDCHIP-LED0805,CHIP-LED0805,"GREEN, LED1, LED2, LED3, LED4,",LED,$0.30,$4.20,1-5 days
3,.1uF,C-USC0805,C0805,C6,"CAPACITOR, American symbol",$0.44,$1.32,1-5 days
1,10118192-0002LF,10118192-0002LF,10118192-0002LF,J2,CONN RCPT USB2.0 MICRO B SMD R/A,$0.44,$0.44,1-5 days
17,1k,R-US_M0805,M0805,"R1, R2, R3, R4, R5, R6, R7, R8","RESISTOR, American symbol",$0.39,$6.63,1-5 days
2,1uF,C-USC0805,C0805,"C2, C3","CAPACITOR, American symbol",$0.44,$0.88,1-5 days
1,ATMEGA328P_TQFP,ATMEGA328P_TQFP,TQFP32-08,U1,Popular 328P in QFP,$2.11,$2.11,1-5 days
1,CH340C,CH340C,SOP16,U$1,CH340C USB to UART IC,$0.37,$0.37,30-50 days
1,CSTCE16M0V53-R0,CSTCE16M0V53-R0,CSTCE16M0V53-R0,X1,CER RES 16.0000MHZ 15PF SMD,$0.33,$0.33,1-5 days
1,Board Fabrication x 3,,,,,$39.05,$39.05,9-12 days
,,,,,,,,
,,,,,,total,$51.13,
